MaToHop,DiemToHop,NhomTinhCach,NhomNganh
A00,16.85,R,KyThuat_CongNghe
D01,21.75,R,CongNgheThongTin_TruyenThong
C02,20.25,R,NongNghiep_MoiTruong_ThuySan
D01,22.5,A,XaHoiNhanVan
B00,27.25,I,SuPhamKhoaHocTuNhien
A01,25.25,I,SuPhamTinHoc
D01,24.0,I,KhoaHocTuNhien
A00,27.75,I,SuPhamHoaHoc
C01,19.5,C,KyThuat_CongNghe
D01,19.25,I,KhoaHocTuNhien
D01,25.0,A,NgoaiNgu
D14,26.25,A,NgoaiNgu
D14,23.75,S,SuPhamTiengPhap
D14,26.5,A,NgoaiNgu
D01,24.5,I,SuPhamTinHoc
D01,19.5,R,CongNgheThongTin_TruyenThong
D01,23.5,A,NgoaiNgu
C01,20.35,R,KyThuat_CongNghe
D01,23.25,A,NgoaiNgu
D01,23.0,I,KhoaHocTuNhien
A00,21.85,C,KyThuat_CongNghe
D01,20.75,I,CongNgheThongTin_TruyenThong
B03,28.0,I,SuPhamSinhHoc
C01,21.75,C,Luat_KinhTe
X70,17.85,A,XaHoiNhanVan
D01,24.75,I,SuPhamTinHoc
C02,17.5,I,KhoaHocTuNhien
D01,21.5,R,NongNghiep_MoiTruong_ThuySan
C02,22.0,A,XaHoiNhanVan
A00,26.25,I,SuPhamKhoaHocTuNhien
D14,19.25,A,XaHoiNhanVan
A00,27.5,I,SuPhamTinHoc
D01,19.75,I,NongNghiep_MoiTruong_ThuySan
A00,26.5,I,SuPhamKhoaHocTuNhien
D01,22.75,I,CongNgheThongTin_TruyenThong
B00,27.5,I,SuPhamSinhHoc
A01,26.0,I,SuPhamKhoaHocTuNhien
A00,21.95,A,XaHoiNhanVan
A00,25.75,I,SuPhamTinHoc
C02,20.25,I,KhoaHocTuNhien
A01,22.0,I,KhoaHocTuNhien
D09,23.0,A,NgoaiNgu
A01,19.6,R,CongNgheThongTin_TruyenThong
A01,28.0,I,SuPhamVatLy
B00,27.0,I,SuPhamSinhHoc
A01,19.6,A,XaHoiNhanVan
A00,26.75,S,GiaoDucTieuHoc
A00,20.1,R,NongNghiep_MoiTruong_ThuySan
A00,28.5,S,GiaoDucTieuHoc
C01,18.5,I,KyThuat_CongNghe
X25,21.0,I,NongNghiep_MoiTruong_ThuySan
A01,26.25,I,SuPhamKhoaHocTuNhien
A00,22.75,R,CongNgheThongTin_TruyenThong
D01,19.5,I,NongNghiep_MoiTruong_ThuySan
D01,24.25,A,SuPhamTiengPhap
X01,18.6,C,Luat_KinhTe
B00,28.75,I,SuPhamKhoaHocTuNhien
A00,26.25,I,SuPhamKhoaHocTuNhien
A00,26.35,S,GiaoDucTieuHoc
A01,26.0,I,SuPhamKhoaHocTuNhien
D01,24.5,S,SuPhamTiengPhap
D01,24.5,A,NgoaiNgu
D01,25.0,E,Luat_KinhTe
A00,26.75,I,SuPhamKhoaHocTuNhien
D01,23.25,C,CongNgheThongTin_TruyenThong
D01,23.0,A,NgoaiNgu
D01,23.0,A,NgoaiNgu
D09,18.0,A,XaHoiNhanVan
A00,27.5,I,SuPhamVatLy
A00,18.8,I,KyThuat_CongNghe
B03,20.35,I,KhoaHocTuNhien
D01,24.25,A,NgoaiNgu
X25,21.0,R,NongNghiep_MoiTruong_ThuySan
D01,20.0,R,CongNgheThongTin_TruyenThong
B00,29.5,I,SuPhamSinhHoc
D01,25.0,I,SuPhamTinHoc
A00,26.5,S,GiaoDucTieuHoc
A01,22.5,C,CongNgheThongTin_TruyenThong
B00,25.85,I,SuPhamSinhHoc
C01,18.35,C,KyThuat_CongNghe
C01,23.75,R,KyThuat_CongNghe
D01,20.5,R,NongNghiep_MoiTruong_ThuySan
A01,23.25,R,CongNgheThongTin_TruyenThong
D01,24.5,I,SuPhamTinHoc
D01,22.0,I,NongNghiep_MoiTruong_ThuySan
D07,26.75,I,SuPhamTinHoc
A00,26.5,I,SuPhamKhoaHocTuNhien
A00,20.25,I,CongNgheThongTin_TruyenThong
C02,19.85,S,XaHoiNhanVan
D01,23.0,C,Luat_KinhTe
B00,26.85,I,SuPhamKhoaHocTuNhien
D01,21.25,E,Luat_KinhTe
D01,23.75,A,NgoaiNgu
B00,27.0,I,SuPhamKhoaHocTuNhien
A00,22.85,A,XaHoiNhanVan
D01,25.0,I,KhoaHocTuNhien
D14,23.5,A,SuPhamTiengPhap
A01,15.85,I,NongNghiep_MoiTruong_ThuySan
A00,27.75,I,SuPhamToanHoc
D01,23.5,S,SuPhamTiengPhap
D01,21.0,R,NongNghiep_MoiTruong_ThuySan
B00,29.5,I,SuPhamSinhHoc
A00,26.5,I,SuPhamTinHoc
D14,19.25,A,XaHoiNhanVan
A00,21.75,E,Luat_KinhTe
B00,26.0,I,SuPhamKhoaHocTuNhien
A00,27.25,S,GiaoDucTieuHoc
D01,22.75,A,SuPhamTiengPhap
C02,21.75,I,KhoaHocTuNhien
D01,26.5,A,SuPhamTiengPhap
D01,18.0,I,NongNghiep_MoiTruong_ThuySan
D14,23.0,A,SuPhamTiengPhap
A00,28.25,I,SuPhamKhoaHocTuNhien
A00,25.25,I,SuPhamTinHoc
A01,16.1,C,KyThuat_CongNghe
C01,24.75,C,Luat_KinhTe
A00,21.75,C,Luat_KinhTe
A00,27.75,I,SuPhamVatLy
D01,23.75,A,NgoaiNgu
D14,25.25,A,NgoaiNgu
D01,23.75,A,NgoaiNgu
C01,21.25,C,Luat_KinhTe
A00,24.5,I,SuPhamTinHoc
D01,18.0,I,KhoaHocTuNhien
C01,19.1,S,XaHoiNhanVan
B00,26.1,I,SuPhamSinhHoc
A01,15.7,R,NongNghiep_MoiTruong_ThuySan
A00,27.75,I,SuPhamToanHoc
A00,27.25,I,SuPhamVatLy
A01,25.0,I,SuPhamTinHoc
D01,25.25,A,SuPhamTiengPhap
A01,26.0,I,SuPhamKhoaHocTuNhien
D09,23.0,A,NgoaiNgu
A01,27.5,I,SuPhamKhoaHocTuNhien
A01,15.35,R,KyThuat_CongNghe
A01,26.0,I,SuPhamKhoaHocTuNhien
C02,23.25,C,Luat_KinhTe
B00,27.25,I,SuPhamSinhHoc
D14,23.25,A,NgoaiNgu
A00,26.25,I,KyThuat_CongNghe
D14,24.75,S,SuPhamTiengPhap
A00,25.5,I,SuPhamTinHoc
C02,18.35,I,KhoaHocTuNhien
A01,26.25,I,SuPhamTinHoc
C02,23.25,I,KhoaHocTuNhien
D01,23.0,A,SuPhamTiengPhap
C02,19.75,R,NongNghiep_MoiTruong_ThuySan
A00,26.25,I,SuPhamKhoaHocTuNhien
C01,24.5,I,KyThuat_CongNghe
B00,28.75,I,SuPhamKhoaHocTuNhien
A00,17.35,R,NongNghiep_MoiTruong_ThuySan
X01,18.75,A,XaHoiNhanVan
D01,18.75,I,KhoaHocTuNhien
A00,29.25,I,SuPhamToanHoc
C00,20.1,C,Luat_KinhTe
C01,18.35,R,KyThuat_CongNghe
D09,25.5,A,NgoaiNgu
B00,17.55,I,KhoaHocTuNhien
C01,19.75,S,XaHoiNhanVan
A00,17.6,R,NongNghiep_MoiTruong_ThuySan
D14,24.0,S,SuPhamTiengPhap
A00,27.75,I,SuPhamHoaHoc
A00,19.25,I,NongNghiep_MoiTruong_ThuySan
C02,24.35,A,XaHoiNhanVan
D01,24.75,I,SuPhamTinHoc
C01,22.0,C,KyThuat_CongNghe
A00,27.75,E,Luat_KinhTe
D01,23.0,A,SuPhamTiengPhap
C01,19.35,C,Luat_KinhTe
A01,25.5,I,SuPhamTinHoc
D01,24.25,S,SuPhamTiengPhap
A00,25.0,A,XaHoiNhanVan
A01,18.85,R,KyThuat_CongNghe
A00,26.25,I,SuPhamKhoaHocTuNhien
B00,23.5,I,KyThuat_CongNghe
B00,28.25,I,SuPhamSinhHoc
D09,25.25,A,NgoaiNgu
D01,19.75,E,Luat_KinhTe
X01,20.0,E,Luat_KinhTe
C01,21.5,R,KyThuat_CongNghe
A00,26.1,S,GiaoDucTieuHoc
A00,26.25,I,SuPhamKhoaHocTuNhien
A01,27.25,I,SuPhamKhoaHocTuNhien
C02,25.0,A,XaHoiNhanVan
A00,27.25,I,SuPhamVatLy
A00,27.75,I,SuPhamToanHoc
D01,18.0,S,XaHoiNhanVan
