MaToHop,DiemToHop,NhomTinhCach,NhomNganh
D01,23.75,,CongNgheThongTin_TruyenThong
D01,23.75,,SuPhamTiengPhap
D01,26.0,,NgoaiNgu
D01,23.75,,CongNgheThongTin_TruyenThong
B03,23.0,,KhoaHocTuNhien
C01,21.95,,XaHoiNhanVan
D01,25.75,,SuPhamTiengPhap
A00,23.0,,NongNghiep_MoiTruong_ThuySan
C01,23.25,,KyThuat_CongNghe
C02,16.5,,NongNghiep_MoiTruong_ThuySan
D01,26.25,,NgoaiNgu
D01,26.0,,SuPhamTinHoc
D01,23.5,,SuPhamTiengPhap
D01,24.5,,SuPhamTiengPhap
A01,22.0,,KyThuat_CongNghe
A00,18.35,,NongNghiep_MoiTruong_ThuySan
A01,25.5,,SuPhamTinHoc
C02,20.5,,KhoaHocTuNhien
B00,29.5,,SuPhamHoaHoc
C02,19.1,,KhoaHocTuNhien
D01,25.5,,CongNgheThongTin_TruyenThong
D01,23.0,,NgoaiNgu
A01,21.75,,XaHoiNhanVan
A00,25.1,,CongNgheThongTin_TruyenThong
C02,19.85,,XaHoiNhanVan
C01,26.25,,GiaoDucTieuHoc
D01,27.0,,NgoaiNgu
D01,21.0,,CongNgheThongTin_TruyenThong
D01,23.25,,NgoaiNgu
C00,22.25,,XaHoiNhanVan
A01,15.75,,NongNghiep_MoiTruong_ThuySan
C02,23.75,E,Luat_KinhTe
D01,20.85,,KhoaHocTuNhien
D14,25.0,,SuPhamTiengPhap
C02,24.75,,NongNghiep_MoiTruong_ThuySan
C01,24.75,,XaHoiNhanVan
D01,20.25,,CongNgheThongTin_TruyenThong
C01,27.0,,GiaoDucTieuHoc
X01,26.5,,XaHoiNhanVan
A00,24.0,,KhoaHocTuNhien
D01,25.75,,SuPhamTiengPhap
B00,21.35,,KyThuat_CongNghe
A01,19.5,,CongNgheThongTin_TruyenThong
D01,23.25,,SuPhamTiengPhap
X06,24.5,,CongNgheThongTin_TruyenThong
C00,18.85,,XaHoiNhanVan
D01,23.25,,NgoaiNgu
D01,25.25,,NongNghiep_MoiTruong_ThuySan
C02,24.0,,XaHoiNhanVan
C01,25.75,,KyThuat_CongNghe
C02,25.25,,NongNghiep_MoiTruong_ThuySan
C01,21.5,E,Luat_KinhTe
D01,25.5,,SuPhamTinHoc
C02,21.75,,KhoaHocTuNhien
A00,19.5,,NongNghiep_MoiTruong_ThuySan
C01,23.0,,KyThuat_CongNghe
D01,23.25,,NgoaiNgu
D01,21.75,,KhoaHocTuNhien
D01,25.25,,CongNgheThongTin_TruyenThong
D01,20.6,,NongNghiep_MoiTruong_ThuySan
X01,21.75,E,Luat_KinhTe
D01,23.75,,SuPhamTiengPhap
D01,23.75,,SuPhamTiengPhap
X01,21.25,,XaHoiNhanVan
A00,25.25,,SuPhamTinHoc
D01,23.0,,NgoaiNgu
A01,27.5,,SuPhamTinHoc
A01,27.0,,SuPhamKhoaHocTuNhien
A00,17.1,,NongNghiep_MoiTruong_ThuySan
C01,18.75,,KyThuat_CongNghe
D14,23.0,,NgoaiNgu
D15,25.25,,NgoaiNgu
