MaToHop,DiemToHop,NhomTinhCach,NhomNganh
D14,26.25,S,SuPhamTiengPhap
C01,22.0,C,KyThuat_CongNghe
B00,26.0,I,SuPhamSinhHoc
D01,20.75,C,Luat_KinhTe
C00,29.0,S,SuPhamLichSuDiaLy
X70,20.5,A,XaHoiNhanVan
C01,19.1,E,Luat_KinhTe
C02,20.0,C,Luat_KinhTe
A00,29.0,I,SuPhamToanHoc
A00,28.25,I,SuPhamVatLy
C02,21.0,C,Luat_KinhTe
A00,27.5,I,SuPhamHoaHoc
D14,26.25,A,NgoaiNgu
C02,24.75,R,NongNghiep_MoiTruong_ThuySan
A00,27.25,I,SuPhamVatLy
A00,27.25,I,SuPhamVatLy
D01,21.0,C,CongNgheThongTin_TruyenThong
A00,27.25,I,SuPhamVatLy
D14,25.5,A,NgoaiNgu
D01,19.5,R,CongNgheThongTin_TruyenThong
C00,19.6,A,XaHoiNhanVan
A01,26.0,C,CongNgheThongTin_TruyenThong
C01,19.85,C,Luat_KinhTe
D01,27.25,S,SuPhamTiengAnh
D14,24.25,A,NgoaiNgu
A01,24.75,I,SuPhamTinHoc
A00,28.0,I,SuPhamToanHoc
C02,20.0,I,KhoaHocTuNhien
A01,26.75,I,SuPhamKhoaHocTuNhien
B00,25.75,I,SuPhamSinhHoc
D01,22.0,C,CongNgheThongTin_TruyenThong
C02,20.25,A,XaHoiNhanVan
A00,25.5,I,SuPhamTinHoc
C00,28.0,S,GiaoDucCongDan
A00,27.0,I,SuPhamKhoaHocTuNhien
A00,26.1,S,GiaoDucTieuHoc
D01,19.0,R,NongNghiep_MoiTruong_ThuySan
D15,27.25,S,SuPhamTiengAnh
A01,25.5,I,SuPhamTinHoc
C02,22.5,I,KhoaHocTuNhien
A00,18.45,I,KyThuat_CongNghe
A00,26.25,I,SuPhamKhoaHocTuNhien
B00,25.75,I,SuPhamSinhHoc
A00,27.5,I,SuPhamHoaHoc
D01,26.0,A,SuPhamTiengPhap
C00,20.6,C,Luat_KinhTe
A00,26.75,I,SuPhamTinHoc
A00,27.25,I,SuPhamVatLy
A01,21.25,I,KyThuat_CongNghe
D01,24.25,A,SuPhamTiengPhap
C01,25.75,R,KyThuat_CongNghe
A00,27.5,I,SuPhamVatLy
D14,24.75,S,SuPhamTiengPhap
B00,25.0,I,NongNghiep_MoiTruong_ThuySan
A00,28.5,I,SuPhamKhoaHocTuNhien
A00,21.0,C,CongNgheThongTin_TruyenThong
D01,16.75,I,NongNghiep_MoiTruong_ThuySan
C02,22.75,A,XaHoiNhanVan
D01,18.1,R,CongNgheThongTin_TruyenThong
B03,26.0,I,SuPhamSinhHoc
A00,28.25,I,SuPhamVatLy
C01,26.5,S,GiaoDucTieuHoc
A01,20.95,C,CongNgheThongTin_TruyenThong
X01,19.0,S,XaHoiNhanVan
A00,26.25,S,GiaoDucTieuHoc
C02,17.75,I,KhoaHocTuNhien
A00,27.5,I,SuPhamKhoaHocTuNhien
A00,29.5,I,SuPhamKhoaHocTuNhien
D01,23.75,C,CongNgheThongTin_TruyenThong
A00,28.25,I,SuPhamVatLy
C00,24.5,E,Luat_KinhTe
A01,24.5,I,SuPhamTinHoc
B00,26.25,I,SuPhamSinhHoc
A00,28.0,I,SuPhamVatLy
B00,29.5,I,SuPhamHoaHoc
C00,29.0,S,SuPhamLichSuDiaLy
A00,29.25,I,SuPhamHoaHoc
A00,20.25,I,CongNgheThongTin_TruyenThong
B00,26.75,I,SuPhamSinhHoc
A00,28.0,S,GiaoDucTieuHoc
D01,23.5,A,NgoaiNgu
C00,28.75,A,SuPhamDiaLy
C00,28.75,S,GiaoDucCongDan
D01,25.5,S,SuPhamTiengPhap
B03,24.75,I,KhoaHocTuNhien
C01,15.5,C,KyThuat_CongNghe
D15,24.5,S,XaHoiNhanVan
D01,27.0,A,SuPhamTiengAnh
B00,28.25,I,SuPhamSinhHoc
C00,20.75,C,Luat_KinhTe
A01,21.0,E,Luat_KinhTe
B00,26.25,I,SuPhamSinhHoc
D01,23.5,A,NgoaiNgu
A00,28.5,S,GiaoDucTieuHoc
D01,20.25,I,KhoaHocTuNhien
C01,16.75,R,KyThuat_CongNghe
D01,20.25,C,CongNgheThongTin_TruyenThong
D15,28.5,S,GiaoDucCongDan
D01,23.5,S,SuPhamTiengPhap
A00,28.25,I,SuPhamVatLy
A00,26.5,S,GiaoDucTieuHoc
C00,29.0,S,SuPhamLichSu
A01,16.0,I,NongNghiep_MoiTruong_ThuySan
C02,17.1,I,NongNghiep_MoiTruong_ThuySan
D01,24.75,I,SuPhamTinHoc
B00,27.0,I,SuPhamSinhHoc
C02,15.75,I,NongNghiep_MoiTruong_ThuySan
D01,19.5,R,CongNgheThongTin_TruyenThong
B00,25.75,I,SuPhamSinhHoc
D01,23.0,S,SuPhamTiengPhap
C00,28.25,S,SuPhamNguVan
A01,17.75,I,KhoaHocTuNhien
A00,27.5,I,SuPhamVatLy
A01,25.0,I,SuPhamTinHoc
C01,26.25,S,GiaoDucTieuHoc
A00,27.5,S,GiaoDucTieuHoc
D07,26.25,I,SuPhamTinHoc
D01,26.5,I,SuPhamTinHoc
C01,27.5,S,GiaoDucTieuHoc
A01,18.75,C,KyThuat_CongNghe
D01,26.0,I,SuPhamTinHoc
C02,17.35,I,NongNghiep_MoiTruong_ThuySan
D01,25.75,A,NgoaiNgu
A00,28.75,I,SuPhamVatLy
A01,21.0,R,KyThuat_CongNghe
C00,28.5,S,GiaoDucCongDan
D01,17.75,I,NongNghiep_MoiTruong_ThuySan
A00,19.2,I,KhoaHocTuNhien
B00,27.0,I,SuPhamSinhHoc
A01,27.5,I,SuPhamKhoaHocTuNhien
C02,18.75,I,NongNghiep_MoiTruong_ThuySan
X25,18.75,I,NongNghiep_MoiTruong_ThuySan
X01,18.1,S,XaHoiNhanVan
B00,28.25,I,SuPhamKhoaHocTuNhien
A00,25.25,I,SuPhamTinHoc
A00,25.25,I,SuPhamTinHoc
A00,27.25,I,SuPhamHoaHoc
A00,27.25,I,SuPhamVatLy
A01,27.75,I,SuPhamVatLy
C02,19.85,I,KhoaHocTuNhien
D09,20.2,A,XaHoiNhanVan
A00,26.75,I,SuPhamKhoaHocTuNhien
A00,22.5,E,Luat_KinhTe
A01,28.5,I,SuPhamVatLy
B00,26.5,I,SuPhamKhoaHocTuNhien
D01,26.25,A,SuPhamTiengPhap
C00,27.75,S,GiaoDucCongDan
D01,20.25,C,CongNgheThongTin_TruyenThong
