MaToHop,DiemToHop,NhomTinhCach,NhomNganh
C01,21.5,R,KyThuat_CongNghe
A01,28.0,I,SuPhamToanHoc
D15,24.25,A,NgoaiNgu
D15,27.0,A,SuPhamTiengAnh
D01,19.0,R,CongNgheThongTin_TruyenThong
D14,27.75,S,SuPhamTiengAnh
A01,20.5,I,NongNghiep_MoiTruong_ThuySan
A00,19.6,R,NongNghiep_MoiTruong_ThuySan
D01,22.75,I,CongNgheThongTin_TruyenThong
B00,29.5,I,SuPhamHoaHoc
D01,25.0,I,SuPhamTinHoc
A00,27.75,I,SuPhamKhoaHocTuNhien
D01,21.5,C,CongNgheThongTin_TruyenThong
D01,27.25,A,SuPhamTiengAnh
A00,27.25,I,SuPhamVatLy
B03,25.75,I,SuPhamSinhHoc
D01,18.5,I,KhoaHocTuNhien
C01,19.75,C,KyThuat_CongNghe
A00,27.75,I,SuPhamHoaHoc
C01,23.25,C,Luat_KinhTe
A01,24.5,I,SuPhamTinHoc
A00,20.5,I,KhoaHocTuNhien
A00,27.75,I,SuPhamToanHoc
D01,23.0,A,NgoaiNgu
D01,26.5,I,SuPhamTinHoc
D07,27.5,I,SuPhamHoaHoc
C01,25.25,E,Luat_KinhTe
A01,28.75,I,SuPhamVatLy
A01,22.0,C,Luat_KinhTe
C02,26.0,I,KhoaHocTuNhien
D01,23.0,A,SuPhamTiengPhap
A00,26.25,I,SuPhamKhoaHocTuNhien
A00,27.25,I,SuPhamVatLy
D01,23.75,A,SuPhamTiengPhap
D01,21.5,R,CongNgheThongTin_TruyenThong
A00,26.5,S,GiaoDucTieuHoc
C01,22.25,S,XaHoiNhanVan
A00,26.0,I,SuPhamKhoaHocTuNhien
D01,25.0,I,CongNgheThongTin_TruyenThong
A00,25.0,I,SuPhamTinHoc
D01,17.85,I,KhoaHocTuNhien
D01,24.75,A,NgoaiNgu
X25,17.45,I,NongNghiep_MoiTruong_ThuySan
C02,17.5,I,KhoaHocTuNhien
A01,26.25,I,SuPhamKhoaHocTuNhien
A00,27.75,I,SuPhamVatLy
A00,27.75,I,SuPhamHoaHoc
B00,28.5,I,SuPhamHoaHoc
A00,27.75,I,SuPhamToanHoc
C01,21.5,E,Luat_KinhTe
D01,24.0,A,SuPhamTiengPhap
D01,19.0,I,CongNgheThongTin_TruyenThong
A00,26.0,I,SuPhamTinHoc
C02,24.0,E,Luat_KinhTe
D01,21.85,R,CongNgheThongTin_TruyenThong
D01,27.0,S,SuPhamTiengAnh
D01,23.25,A,SuPhamTiengPhap
D15,27.25,A,SuPhamTiengAnh
A00,29.0,I,SuPhamToanHoc
C02,23.25,E,Luat_KinhTe
C02,20.0,C,Luat_KinhTe
A00,26.75,I,SuPhamKhoaHocTuNhien
D15,27.0,S,SuPhamTiengAnh
D14,23.25,S,XaHoiNhanVan
D01,27.25,S,SuPhamTiengAnh
B00,28.5,I,SuPhamHoaHoc
A00,27.25,I,SuPhamVatLy
C02,22.0,I,KhoaHocTuNhien
C01,21.25,S,XaHoiNhanVan
X01,22.75,E,Luat_KinhTe
C01,24.0,C,Luat_KinhTe
X70,23.0,S,XaHoiNhanVan
A00,24.5,I,SuPhamTinHoc
D14,25.0,A,NgoaiNgu
C01,26.5,S,GiaoDucTieuHoc
D01,24.0,A,NgoaiNgu
A00,28.0,I,SuPhamToanHoc
A00,27.25,I,SuPhamHoaHoc
X25,18.5,I,NongNghiep_MoiTruong_ThuySan
D01,25.5,A,NgoaiNgu
D01,18.75,C,CongNgheThongTin_TruyenThong
A01,27.25,I,SuPhamVatLy
C01,27.5,S,GiaoDucTieuHoc
X01,22.0,C,Luat_KinhTe
B00,27.0,I,SuPhamSinhHoc
B00,26.5,I,SuPhamSinhHoc
B03,26.25,I,SuPhamSinhHoc
B00,28.0,I,SuPhamHoaHoc
C01,26.25,S,GiaoDucTieuHoc
D01,22.75,A,SuPhamTiengPhap
D01,25.5,I,SuPhamTinHoc
A00,28.0,I,SuPhamHoaHoc
A01,20.0,I,KyThuat_CongNghe
B03,20.7,I,KhoaHocTuNhien
D01,27.0,S,GiaoDucTieuHoc
A00,27.75,I,SuPhamToanHoc
C00,22.6,C,Luat_KinhTe
D14,22.25,A,XaHoiNhanVan
D01,22.5,S,XaHoiNhanVan
C01,20.25,I,KyThuat_CongNghe
A01,29.5,I,SuPhamToanHoc
D01,23.75,A,SuPhamTiengPhap
A01,27.75,I,SuPhamToanHoc
C01,26.5,S,GiaoDucTieuHoc
D01,26.25,S,GiaoDucTieuHoc
D01,20.75,A,XaHoiNhanVan
B03,25.85,I,SuPhamSinhHoc
B00,27.5,I,SuPhamHoaHoc
C01,19.5,A,XaHoiNhanVan
A00,26.2,I,SuPhamKhoaHocTuNhien
A01,23.75,C,Luat_KinhTe
D01,20.0,I,NongNghiep_MoiTruong_ThuySan
A00,25.5,I,SuPhamTinHoc
D01,26.25,S,GiaoDucTieuHoc
D14,27.75,A,SuPhamTiengAnh
D15,27.0,S,SuPhamTiengAnh
C01,16.6,I,KyThuat_CongNghe
C01,27.25,S,GiaoDucTieuHoc
A00,28.35,I,SuPhamKhoaHocTuNhien
D01,23.75,S,SuPhamTiengPhap
A01,27.0,I,SuPhamKhoaHocTuNhien
B00,26.25,I,SuPhamSinhHoc
B00,28.25,I,SuPhamHoaHoc
B00,26.0,I,SuPhamSinhHoc
C02,24.0,I,KhoaHocTuNhien
A00,27.75,I,SuPhamToanHoc
D14,25.0,A,NgoaiNgu
D01,24.5,I,SuPhamTinHoc
D01,18.25,I,CongNgheThongTin_TruyenThong
A00,18.5,R,CongNgheThongTin_TruyenThong
D07,27.25,I,SuPhamHoaHoc
D01,23.25,I,KhoaHocTuNhien
A00,21.25,I,KhoaHocTuNhien
A00,28.0,I,SuPhamTinHoc
C01,22.0,R,KyThuat_CongNghe
D01,20.25,I,KhoaHocTuNhien
A00,26.0,I,SuPhamKhoaHocTuNhien
A01,19.75,I,KhoaHocTuNhien
D01,20.75,E,Luat_KinhTe
D01,18.85,I,KhoaHocTuNhien
A01,23.25,S,XaHoiNhanVan
A01,22.75,C,CongNgheThongTin_TruyenThong
A00,28.5,I,SuPhamToanHoc
C01,19.75,I,KyThuat_CongNghe
D01,25.25,S,SuPhamTiengPhap
B00,27.25,I,SuPhamKhoaHocTuNhien
B00,27.75,I,SuPhamHoaHoc
C01,23.5,A,XaHoiNhanVan
D14,23.25,S,SuPhamTiengPhap
D01,24.0,S,SuPhamTiengPhap
D01,26.5,S,GiaoDucTieuHoc
C01,26.25,S,GiaoDucTieuHoc
A01,27.75,I,SuPhamVatLy
A00,27.75,S,GiaoDucTieuHoc
A01,19.75,R,NongNghiep_MoiTruong_ThuySan
C01,22.85,I,KyThuat_CongNghe
D01,24.5,I,SuPhamTinHoc
X01,25.0,S,XaHoiNhanVan
D14,23.25,A,SuPhamTiengPhap
A00,27.0,I,SuPhamKhoaHocTuNhien
D01,24.75,A,SuPhamTiengPhap
A00,27.25,I,SuPhamHoaHoc
D14,24.25,A,NgoaiNgu
D01,26.25,S,GiaoDucTieuHoc
D15,28.5,S,SuPhamTiengAnh
D14,27.75,S,SuPhamTiengAnh
D01,25.0,I,SuPhamTinHoc
D14,24.25,A,SuPhamTiengPhap
A00,28.25,I,SuPhamToanHoc
A00,28.75,I,SuPhamToanHoc
D01,26.25,A,SuPhamTiengPhap
D14,24.5,A,NgoaiNgu
D01,19.35,I,NongNghiep_MoiTruong_ThuySan
B03,26.5,I,SuPhamSinhHoc
X01,19.2,C,Luat_KinhTe
D01,18.25,I,KhoaHocTuNhien
D01,24.5,A,NgoaiNgu
A00,24.5,I,SuPhamTinHoc
A01,24.75,I,SuPhamTinHoc
D01,17.75,I,NongNghiep_MoiTruong_ThuySan
D07,19.25,I,KyThuat_CongNghe
B00,26.75,I,SuPhamSinhHoc
A00,27.75,I,SuPhamToanHoc
C01,17.85,I,KyThuat_CongNghe
D01,26.75,S,GiaoDucTieuHoc
X25,18.5,I,NongNghiep_MoiTruong_ThuySan
A01,27.25,I,SuPhamVatLy
A00,26.75,I,SuPhamKhoaHocTuNhien
D01,24.75,C,Luat_KinhTe
C02,20.1,R,NongNghiep_MoiTruong_ThuySan
D01,22.75,A,SuPhamTiengPhap
D01,18.5,R,NongNghiep_MoiTruong_ThuySan
C01,22.25,A,XaHoiNhanVan
D01,23.0,A,SuPhamTiengPhap
D15,26.5,A,NgoaiNgu
B00,25.6,I,SuPhamSinhHoc
A00,27.75,I,SuPhamToanHoc
A01,27.25,I,SuPhamVatLy
A00,28.0,I,SuPhamToanHoc
D01,24.85,S,SuPhamTiengPhap
A00,28.25,I,SuPhamVatLy
D01,25.75,S,SuPhamTiengPhap
D01,24.5,I,SuPhamTinHoc
D01,18.85,I,KhoaHocTuNhien
A01,27.25,I,SuPhamVatLy
D01,24.75,S,SuPhamTiengPhap
D01,23.5,A,NgoaiNgu
A01,28.25,I,SuPhamToanHoc
D01,26.0,S,SuPhamTiengPhap
A01,27.5,I,SuPhamKhoaHocTuNhien
C01,22.5,S,XaHoiNhanVan
C01,26.25,S,GiaoDucTieuHoc
C01,21.5,C,KyThuat_CongNghe
D01,24.75,S,SuPhamTiengPhap
A00,26.25,I,SuPhamTinHoc
D14,24.25,A,NgoaiNgu
A00,27.25,I,SuPhamVatLy
D01,24.5,S,SuPhamTiengPhap
D01,24.5,I,SuPhamTinHoc
C02,20.5,R,NongNghiep_MoiTruong_ThuySan
C02,24.5,A,XaHoiNhanVan
D01,27.0,A,SuPhamTiengAnh
A01,27.25,I,SuPhamVatLy
C01,26.5,S,GiaoDucTieuHoc
D01,27.25,S,SuPhamTiengAnh
A00,28.0,I,SuPhamHoaHoc
B00,26.5,I,SuPhamKhoaHocTuNhien
A00,27.0,S,GiaoDucTieuHoc
C02,24.5,S,XaHoiNhanVan
C01,23.75,C,KyThuat_CongNghe
B00,26.25,I,SuPhamSinhHoc
D01,24.25,S,SuPhamTiengPhap
A00,28.5,I,SuPhamHoaHoc
D01,21.75,R,NongNghiep_MoiTruong_ThuySan
C01,20.1,I,KyThuat_CongNghe
D01,23.25,A,SuPhamTiengPhap
D01,27.0,S,GiaoDucTieuHoc
D01,26.75,S,GiaoDucTieuHoc
C01,28.5,S,GiaoDucTieuHoc
A00,19.35,R,CongNgheThongTin_TruyenThong
D01,23.5,A,NgoaiNgu
A01,27.25,I,SuPhamVatLy
A00,24.85,I,SuPhamTinHoc
A00,19.75,C,CongNgheThongTin_TruyenThong
A00,27.75,I,SuPhamVatLy
A00,27.75,I,SuPhamToanHoc
X01,24.75,A,XaHoiNhanVan
A00,27.75,I,SuPhamVatLy
A01,21.75,C,KyThuat_CongNghe
A01,16.85,C,KyThuat_CongNghe
D01,24.5,I,SuPhamTinHoc
D15,23.75,A,NgoaiNgu
C01,24.5,A,XaHoiNhanVan
A00,26.6,I,SuPhamTinHoc
D14,25.25,A,XaHoiNhanVan
A00,26.5,I,SuPhamKhoaHocTuNhien
B00,26.0,I,SuPhamSinhHoc
A00,28.75,I,SuPhamVatLy
D01,20.1,R,CongNgheThongTin_TruyenThong
B00,27.0,I,SuPhamSinhHoc
B00,25.75,I,SuPhamSinhHoc
C02,19.5,I,KhoaHocTuNhien
A00,22.6,E,Luat_KinhTe
A00,26.5,S,GiaoDucTieuHoc
B00,28.0,I,SuPhamHoaHoc
A00,28.0,I,SuPhamHoaHoc
C02,23.25,I,NongNghiep_MoiTruong_ThuySan
D01,24.75,I,SuPhamTinHoc
A00,27.75,I,SuPhamToanHoc
C01,18.35,R,KyThuat_CongNghe
A00,28.0,I,SuPhamToanHoc
B00,27.5,I,SuPhamHoaHoc
A00,27.75,I,SuPhamVatLy
B03,26.5,I,SuPhamSinhHoc
A00,21.0,C,KyThuat_CongNghe
A01,18.85,I,NongNghiep_MoiTruong_ThuySan
A00,26.5,S,GiaoDucTieuHoc
D01,24.75,A,XaHoiNhanVan
D09,20.0,S,XaHoiNhanVan
B00,27.0,I,SuPhamSinhHoc
D01,20.5,E,Luat_KinhTe
A00,26.75,I,SuPhamKhoaHocTuNhien
C01,24.0,C,Luat_KinhTe
D01,22.5,C,CongNgheThongTin_TruyenThong
D01,24.5,I,SuPhamTinHoc
A00,25.5,I,SuPhamTinHoc
C01,23.0,C,Luat_KinhTe
D01,22.85,S,SuPhamTiengPhap
C02,18.75,I,NongNghiep_MoiTruong_ThuySan
D01,25.5,A,NgoaiNgu
D01,25.0,S,SuPhamTiengPhap
D01,24.0,A,NgoaiNgu
D01,23.5,S,SuPhamTiengPhap
C01,22.35,I,KyThuat_CongNghe
A00,20.35,C,CongNgheThongTin_TruyenThong
C00,22.1,S,XaHoiNhanVan
A00,20.0,I,KyThuat_CongNghe
C01,27.25,S,GiaoDucTieuHoc
D01,23.5,I,KhoaHocTuNhien
B00,27.5,I,SuPhamHoaHoc
D01,15.45,R,NongNghiep_MoiTruong_ThuySan
D01,23.75,S,XaHoiNhanVan
D01,21.75,A,XaHoiNhanVan
D01,25.25,A,SuPhamTiengPhap
X01,23.0,S,XaHoiNhanVan
C01,23.5,A,XaHoiNhanVan
A00,18.85,I,KhoaHocTuNhien
A01,21.5,I,KhoaHocTuNhien
A01,19.35,R,CongNgheThongTin_TruyenThong
A00,26.25,I,SuPhamKhoaHocTuNhien
D01,22.5,S,XaHoiNhanVan
D01,24.0,A,SuPhamTiengPhap
D01,18.75,I,CongNgheThongTin_TruyenThong
D01,26.25,A,SuPhamTiengPhap
C01,22.75,A,XaHoiNhanVan
C01,26.5,S,GiaoDucTieuHoc
D01,19.0,I,KhoaHocTuNhien
D01,17.85,I,KhoaHocTuNhien
D01,26.25,S,GiaoDucTieuHoc
C01,21.25,R,KyThuat_CongNghe
C01,26.75,S,GiaoDucTieuHoc
D15,26.85,S,SuPhamTiengAnh
C01,19.75,C,KyThuat_CongNghe
C01,26.25,S,GiaoDucTieuHoc
A01,27.25,I,SuPhamVatLy
A00,28.25,I,SuPhamVatLy
A00,26.75,S,GiaoDucTieuHoc
B00,26.25,C,KyThuat_CongNghe
B00,27.75,I,SuPhamHoaHoc
D01,22.75,A,SuPhamTiengPhap
A00,19.6,I,NongNghiep_MoiTruong_ThuySan
A01,18.5,R,CongNgheThongTin_TruyenThong
D01,25.5,I,SuPhamTinHoc
C01,24.75,C,Luat_KinhTe
B00,28.75,I,SuPhamHoaHoc
C02,24.5,S,XaHoiNhanVan
A00,28.25,I,SuPhamHoaHoc
D01,23.5,A,SuPhamTiengPhap
D01,18.25,R,NongNghiep_MoiTruong_ThuySan
D14,24.25,A,NgoaiNgu
A01,25.35,I,SuPhamTinHoc
A00,27.25,I,SuPhamHoaHoc
D01,27.5,S,GiaoDucTieuHoc
A01,18.75,C,CongNgheThongTin_TruyenThong
C02,20.75,I,KhoaHocTuNhien
A01,26.75,I,SuPhamKhoaHocTuNhien
D01,23.75,A,SuPhamTiengPhap
B00,25.75,I,SuPhamSinhHoc
A00,27.75,I,SuPhamVatLy
D01,22.75,A,SuPhamTiengPhap
C02,18.35,I,NongNghiep_MoiTruong_ThuySan
B00,25.75,I,SuPhamSinhHoc
A00,27.5,S,GiaoDucTieuHoc
C01,23.75,C,Luat_KinhTe
X01,23.5,E,Luat_KinhTe
D14,23.25,A,NgoaiNgu
D01,26.25,S,GiaoDucTieuHoc
A01,27.25,I,SuPhamKhoaHocTuNhien
A00,28.25,I,SuPhamVatLy
D01,21.25,C,CongNgheThongTin_TruyenThong
D01,22.1,A,XaHoiNhanVan
D14,20.5,A,XaHoiNhanVan
A00,29.5,I,SuPhamHoaHoc
D01,25.5,S,SuPhamTiengPhap
B00,28.25,I,SuPhamHoaHoc
A00,28.0,I,SuPhamVatLy
A01,27.75,I,SuPhamToanHoc
A00,28.5,I,SuPhamHoaHoc
C01,26.25,S,GiaoDucTieuHoc
X70,23.0,S,XaHoiNhanVan
D01,23.1,A,NgoaiNgu
B00,28.5,I,SuPhamKhoaHocTuNhien
D14,27.5,S,SuPhamTiengAnh
D01,22.75,S,SuPhamTiengPhap
A01,26.5,I,SuPhamTinHoc
C01,27.75,S,GiaoDucTieuHoc
D01,19.0,I,NongNghiep_MoiTruong_ThuySan
A00,27.75,I,SuPhamToanHoc
B00,26.5,I,SuPhamKhoaHocTuNhien
B00,27.25,I,SuPhamSinhHoc
A00,26.25,A,XaHoiNhanVan
D01,20.75,I,KhoaHocTuNhien
B03,26.0,I,SuPhamSinhHoc
C02,21.5,R,NongNghiep_MoiTruong_ThuySan
D01,24.75,I,SuPhamTinHoc
C02,24.6,C,Luat_KinhTe
B00,15.35,R,NongNghiep_MoiTruong_ThuySan
D01,25.5,A,NgoaiNgu
D01,22.6,I,KhoaHocTuNhien
D01,25.0,A,NgoaiNgu
A00,26.0,I,SuPhamKhoaHocTuNhien
D14,27.0,S,SuPhamTiengAnh
A00,26.25,I,SuPhamKhoaHocTuNhien
D15,25.5,A,NgoaiNgu
A00,26.0,I,SuPhamTinHoc
D01,20.75,R,NongNghiep_MoiTruong_ThuySan
B03,26.75,I,SuPhamSinhHoc
D07,19.25,I,KhoaHocTuNhien
C01,25.0,C,Luat_KinhTe
D15,23.6,A,NgoaiNgu
X74,24.6,S,XaHoiNhanVan
A00,27.25,I,SuPhamVatLy
A00,28.25,I,SuPhamToanHoc
C01,22.25,S,XaHoiNhanVan
D01,18.0,I,KhoaHocTuNhien
B03,26.5,I,SuPhamSinhHoc
B00,27.0,I,SuPhamSinhHoc
C01,23.25,S,XaHoiNhanVan
D01,25.25,C,CongNgheThongTin_TruyenThong
A01,20.6,I,KhoaHocTuNhien
A00,27.75,I,SuPhamToanHoc
D14,25.5,A,SuPhamTiengPhap
A00,27.25,I,SuPhamHoaHoc
A01,18.25,R,CongNgheThongTin_TruyenThong
A01,24.0,I,KhoaHocTuNhien
A00,27.25,I,SuPhamHoaHoc
D01,20.35,I,NongNghiep_MoiTruong_ThuySan
C01,23.0,C,Luat_KinhTe
A01,28.25,I,SuPhamKhoaHocTuNhien
