MaToHop,DiemToHop,NhomTinhCach,NhomNganh
C01,21.5,ESTP,KyThuat_CongNghe
A01,28.0,ENTJ,SuPhamToanHoc
D15,24.25,ESFJ,NgoaiNgu
D15,27.0,ENTP,SuPhamTiengAnh
D01,19.0,ESTP,CongNgheThongTin_TruyenThong
D14,27.75,ENFP,SuPhamTiengAnh
A01,20.5,ISFJ,NongNghiep_MoiTruong_ThuySan
A00,19.6,ISFJ,NongNghiep_MoiTruong_ThuySan
D01,22.75,ENTP,CongNgheThongTin_TruyenThong
B00,29.5,ESTJ,SuPhamHoaHoc
D01,25.0,ESTJ,SuPhamTinHoc
A00,27.75,ESTJ,SuPhamKhoaHocTuNhien
D01,21.5,ENTP,CongNgheThongTin_TruyenThong
D01,27.25,ENTP,SuPhamTiengAnh
A00,27.25,INTP,SuPhamVatLy
B03,25.75,ENFJ,SuPhamSinhHoc
D01,18.5,INTJ,KhoaHocTuNhien
C01,19.75,ESTP,KyThuat_CongNghe
A00,27.75,INTJ,SuPhamHoaHoc
C01,23.25,ENTJ,Luat_KinhTe
A01,24.5,ENTP,SuPhamTinHoc
A00,20.5,INTJ,KhoaHocTuNhien
A00,27.75,ENTJ,SuPhamToanHoc
D01,23.0,INFJ,NgoaiNgu
D01,26.5,INTJ,SuPhamTinHoc
D07,27.5,INTJ,SuPhamHoaHoc
C01,25.25,INTJ,Luat_KinhTe
A01,28.75,ISTJ,SuPhamVatLy
A01,22.0,ESTJ,Luat_KinhTe
C02,26.0,ISTP,KhoaHocTuNhien
D01,23.0,INFJ,SuPhamTiengPhap
A00,26.25,ISTJ,SuPhamKhoaHocTuNhien
A00,27.25,ESTJ,SuPhamVatLy
D01,23.75,INFJ,SuPhamTiengPhap
D01,21.5,INTP,CongNgheThongTin_TruyenThong
A00,26.5,ISFJ,GiaoDucTieuHoc
C01,22.25,ISFJ,XaHoiNhanVan
A00,26.0,ISTJ,SuPhamKhoaHocTuNhien
D01,25.0,ESTP,CongNgheThongTin_TruyenThong
A00,25.0,INTJ,SuPhamTinHoc
D01,17.85,INTJ,KhoaHocTuNhien
D01,24.75,INFJ,NgoaiNgu
X25,17.45,ISFP,NongNghiep_MoiTruong_ThuySan
C02,17.5,ISTP,KhoaHocTuNhien
A01,26.25,INTP,SuPhamKhoaHocTuNhien
A00,27.75,INTP,SuPhamVatLy
A00,27.75,INTJ,SuPhamHoaHoc
B00,28.5,INTP,SuPhamHoaHoc
A00,27.75,ENTJ,SuPhamToanHoc
C01,21.5,ESTJ,Luat_KinhTe
D01,24.0,INFJ,SuPhamTiengPhap
D01,19.0,ISTP,CongNgheThongTin_TruyenThong
A00,26.0,ENTP,SuPhamTinHoc
C02,24.0,ENTP,Luat_KinhTe
D01,21.85,ESTP,CongNgheThongTin_TruyenThong
D01,27.0,ESFJ,SuPhamTiengAnh
D01,23.25,ENFJ,SuPhamTiengPhap
D15,27.25,INFJ,SuPhamTiengAnh
A00,29.0,INTP,SuPhamToanHoc
C02,23.25,ENTP,Luat_KinhTe
C02,20.0,ESTJ,Luat_KinhTe
A00,26.75,INTP,SuPhamKhoaHocTuNhien
D15,27.0,INFJ,SuPhamTiengAnh
D14,23.25,ESFJ,XaHoiNhanVan
D01,27.25,ENTP,SuPhamTiengAnh
B00,28.5,ISTJ,SuPhamHoaHoc
A00,27.25,INTP,SuPhamVatLy
C02,22.0,INTJ,KhoaHocTuNhien
C01,21.25,ENFP,XaHoiNhanVan
X01,22.75,ESTJ,Luat_KinhTe
C01,24.0,ESTJ,Luat_KinhTe
X70,23.0,ESFJ,XaHoiNhanVan
A00,24.5,ENTP,SuPhamTinHoc
