MaToHop,DiemToHop,NhomTinhCach,NhomNganh
B00,21.75,I,KhoaHocTuNhien
B03,21.75,I,KhoaHocTuNhien
C02,21.25,I,KhoaHocTuNhien
A00,23.25,S,XaHoiNhanVan
C01,24.75,S,XaHoiNhanVan
C02,23,C,Luat_KinhTe
C01,24,S,XaHoiNhanVan
A00,17.25,I,NongNghiep_MoiTruong_ThuySan
C01,19.25,R,KyThuat_CongNghe
C02,18.25,I,NongNghiep_MoiTruong_ThuySan
C00,18.75,E,Luat_KinhTe
A00,18.75,R,KyThuat_CongNghe
C01,22.25,E,Luat_KinhTe
C02,20,I,KhoaHocTuNhien
B00,19.95,R,KyThuat_CongNghe
B03,21.7,I,KhoaHocTuNhien
C02,20.6,I,KhoaHocTuNhien
A00,21.25,I,CongNgheThongTin_TruyenThong
C01,23.75,S,XaHoiNhanVan
C02,22,C,Luat_KinhTe
C00,26,S,XaHoiNhanVan
B00,18.85,C,KyThuat_CongNghe
B03,21.1,I,KhoaHocTuNhien
C02,22.1,E,Luat_KinhTe
B00,22.35,I,KhoaHocTuNhien
B03,24.6,I,KhoaHocTuNhien
C02,25.25,S,XaHoiNhanVan
A00,22.5,C,Luat_KinhTe
C01,23.25,S,XaHoiNhanVan
C02,22.75,E,Luat_KinhTe
B03,17.6,I,KhoaHocTuNhien
C02,16.6,I,NongNghiep_MoiTruong_ThuySan
A00,17.85,C,KyThuat_CongNghe
C01,20.6,E,Luat_KinhTe
C02,19.25,I,KhoaHocTuNhien
A00,17,I,NongNghiep_MoiTruong_ThuySan
C01,18.5,I,KyThuat_CongNghe
C02,17,I,NongNghiep_MoiTruong_ThuySan
A00,18.25,R,KyThuat_CongNghe
C01,19.5,R,KyThuat_CongNghe
C02,17.25,I,NongNghiep_MoiTruong_ThuySan
A00,20.75,I,KhoaHocTuNhien
C01,22,E,Luat_KinhTe
C02,20.5,I,KhoaHocTuNhien
A00,22.85,C,Luat_KinhTe
C01,22.6,E,Luat_KinhTe
C02,22.6,C,Luat_KinhTe
A00,17.5,R,KyThuat_CongNghe
C01,19.25,R,KyThuat_CongNghe
C02,18.75,I,KhoaHocTuNhien
B00,26,I,KhoaHocTuNhien
B03,25.75,I,KhoaHocTuNhien
C02,25.75,S,XaHoiNhanVan
B00,21.75,I,KhoaHocTuNhien
B03,22.75,I,KhoaHocTuNhien
C02,24,S,XaHoiNhanVan
A00,23.75,S,XaHoiNhanVan
C01,25.75,S,XaHoiNhanVan
C02,21.75,E,Luat_KinhTe
C00,22.6,C,Luat_KinhTe
B00,22.5,I,KhoaHocTuNhien
B03,22.25,I,KhoaHocTuNhien
C02,24,S,XaHoiNhanVan
B03,17.25,I,KhoaHocTuNhien
C02,17.45,I,NongNghiep_MoiTruong_ThuySan
A00,27,S,XaHoiNhanVan
C01,24.75,S,XaHoiNhanVan
C02,24.25,S,XaHoiNhanVan
B00,17.75,R,KyThuat_CongNghe
B03,19,I,KhoaHocTuNhien
C02,18,I,NongNghiep_MoiTruong_ThuySan
A00,21.3,C,CongNgheThongTin_TruyenThong
C01,20.1,I,KyThuat_CongNghe
C02,20.3,I,KhoaHocTuNhien
A00,20,C,KyThuat_CongNghe
C01,20.5,I,KyThuat_CongNghe
C02,19.25,I,KhoaHocTuNhien
B00,19.35,R,KyThuat_CongNghe
B03,21.6,I,KhoaHocTuNhien
C02,20,I,KhoaHocTuNhien
B00,23,I,KhoaHocTuNhien
B03,23.75,I,KhoaHocTuNhien
C02,23.5,S,XaHoiNhanVan
C01,20.75,C,Luat_KinhTe
A00,20.75,I,KhoaHocTuNhien
C01,22.5,E,Luat_KinhTe
C02,22.25,C,Luat_KinhTe
A00,24,S,XaHoiNhanVan
C01,23.25,S,XaHoiNhanVan
C02,22.5,E,Luat_KinhTe
A00,23,C,Luat_KinhTe
C01,23.25,S,XaHoiNhanVan
C02,23.5,S,XaHoiNhanVan
C00,27.25,S,XaHoiNhanVan
A00,21.75,I,CongNgheThongTin_TruyenThong
C01,22.25,E,Luat_KinhTe
C02,20.25,I,KhoaHocTuNhien
A00,23,E,Luat_KinhTe
C01,23.25,S,XaHoiNhanVan
C02,20.75,I,KhoaHocTuNhien
C01,20.85,C,Luat_KinhTe
A00,18.45,C,KyThuat_CongNghe
C01,21.85,E,Luat_KinhTe
C02,17.2,I,NongNghiep_MoiTruong_ThuySan
A00,24.75,S,XaHoiNhanVan
C01,23.75,S,XaHoiNhanVan
C02,23.5,S,XaHoiNhanVan
A00,19.5,R,KyThuat_CongNghe
C01,19,I,KyThuat_CongNghe
C02,19,I,KhoaHocTuNhien
A00,17.85,I,KyThuat_CongNghe
C01,20.35,I,KyThuat_CongNghe
C02,18.85,I,KhoaHocTuNhien
C00,26,S,XaHoiNhanVan
C01,21.75,C,Luat_KinhTe
B00,27.75,I,KhoaHocTuNhien
B03,26.75,I,KhoaHocTuNhien
C02,28,S,XaHoiNhanVan
A00,24.75,S,XaHoiNhanVan
C01,24.25,S,XaHoiNhanVan
C02,24.5,S,XaHoiNhanVan
B00,24.25,I,KhoaHocTuNhien
B03,23.25,I,KhoaHocTuNhien
